time,x,y
2200.0,478,365
2200.5,460,364
2201.0,456,364
2201.5,429,362
2202.0,413,355
2202.5,392,361
2203.0,374,363
2203.5,345,364
2204.0,290,362
2204.5,272,358
2205.0,234,357
2205.5,218,354
2206.0,210,351
2206.5,184,348
2207.0,171,345
2207.5,169,345
2192.5,639,386
2192.0,639,386
2193.5,639,386
2193.0,639,386
2194.5,639,386
2194.0,639,386
2195.5,639,386
2195.0,639,386
2196.5,613,376
2196.0,639,386
2197.5,578,371
2197.0,604,374
2198.5,538,366
2198.0,565,369
2199.5,511,367
2199.0,526,366
2185.0,639,386
2185.5,639,386
2184.0,639,386
2184.5,639,386
2187.0,639,386
2187.5,639,386
2186.0,639,386
2186.5,639,386
2189.0,639,386
2189.5,639,386
2188.0,639,386
2188.5,639,386
2191.0,639,386
2191.5,639,386
2190.0,639,386
2190.5,639,386
2177.5,639,386
2177.0,639,386
2176.5,639,386
2176.0,639,386
2179.5,639,386
2179.0,639,386
2178.5,639,386
2178.0,639,386
2181.5,639,386
2181.0,639,386
2180.5,639,386
2180.0,639,386
2183.5,639,386
2183.0,639,386
2182.5,639,386
2182.0,639,386
2234.0,211,362
2234.5,244,362
2235.0,275,361
2235.5,304,362
2232.0,71,353
2232.5,87,354
2233.0,110,360
2233.5,151,363
2238.0,426,380
2238.5,417,381
2239.0,417,380
2239.5,415,379
2236.0,341,368
2236.5,368,371
2237.0,389,375
2237.5,408,380
2226.5,341,384
2226.0,389,394
2227.5,296,372
2227.0,315,382
2224.5,456,414
2224.0,474,416
2225.5,411,398
2225.0,431,402
2230.5,132,353
2230.0,166,353
2231.5,102,350
2231.0,112,350
2228.5,238,366
2228.0,252,369
2229.5,175,354
2229.0,205,358
2219.0,281,405
2219.5,343,413
2218.0,187,387
2218.5,247,401
2217.0,120,376
2217.5,144,382
2216.0,95,365
2216.5,103,373
2223.0,516,433
2223.5,507,424
2222.0,510,434
2222.5,525,434
2221.0,485,434
2221.5,505,435
2220.0,402,423
2220.5,446,426
2211.5,239,338
2211.0,244,337
2210.5,249,337
2210.0,240,339
2209.5,223,341
2209.0,198,344
2208.5,178,345
2208.0,171,345
2215.5,79,364
2215.0,79,364
2214.5,79,355
2214.0,93,347
2213.5,131,340
2213.0,165,339
2212.5,209,336
2212.0,218,335
2268.5,155,352
2268.0,155,352
2269.5,146,354
2269.0,146,354
2270.5,146,354
2270.0,146,354
2271.5,146,354
2271.0,146,354
2264.5,155,352
2264.0,155,352
2265.5,155,352
2265.0,155,352
2266.5,155,352
2266.0,155,352
2267.5,155,352
2267.0,155,352
2260.0,155,352
2260.5,155,352
2261.0,155,352
2261.5,155,352
2262.0,155,352
2262.5,155,352
2263.0,155,352
2263.5,155,352
2256.0,155,352
2256.5,155,352
2257.0,155,352
2257.5,155,352
2258.0,155,352
2258.5,155,352
2259.0,155,352
2259.5,155,352
2253.5,155,352
2253.0,155,350
2252.5,155,349
2252.0,155,349
2255.5,155,352
2255.0,155,352
2254.5,155,352
2254.0,155,352
2249.5,214,350
2249.0,224,348
2248.5,248,352
2248.0,268,351
2251.5,155,349
2251.0,168,352
2250.5,178,353
2250.0,193,352
2245.0,399,349
2245.5,399,349
2244.0,445,364
2244.5,429,357
2247.0,340,347
2247.5,302,351
2246.0,392,350
2246.5,358,349
2241.0,412,367
2241.5,423,366
2240.0,414,376
2240.5,412,367
2243.0,444,366
2243.5,445,364
2242.0,423,366
2242.5,433,366
2302.5,138,352
2302.0,138,352
2303.5,138,352
2303.0,138,352
2300.5,138,352
2300.0,138,352
2301.5,138,352
2301.0,138,352
2298.5,138,352
2298.0,138,352
2299.5,138,352
2299.0,138,352
2296.5,138,352
2296.0,138,352
2297.5,138,352
2297.0,138,352
2294.0,138,352
2294.5,138,352
2295.0,138,352
2295.5,138,352
2292.0,138,352
2292.5,138,352
2293.0,138,352
2293.5,138,352
2290.0,141,353
2290.5,139,352
2291.0,138,352
2291.5,138,352
2288.0,141,354
2288.5,141,354
2289.0,141,354
2289.5,141,353
2287.5,141,354
2287.0,141,354
2286.5,141,354
2286.0,141,354
2285.5,141,354
2285.0,141,354
2284.5,141,354
2284.0,141,354
2283.5,141,354
2283.0,141,354
2282.5,142,354
2282.0,160,352
2281.5,153,352
2281.0,147,352
2280.5,147,352
2280.0,147,352
2279.0,146,353
2279.5,146,353
2278.0,146,354
2278.5,146,354
2277.0,146,354
2277.5,146,354
2276.0,146,354
2276.5,146,354
2275.0,146,354
2275.5,146,354
2274.0,146,354
2274.5,146,354
2273.0,146,354
2273.5,146,354
2272.0,146,354
2272.5,146,354
2065.5,470,403
2065.0,470,403
2064.5,467,400
2064.0,466,393
2067.5,463,395
2067.0,472,399
2066.5,472,402
2066.0,472,403
2069.5,416,381
2069.0,424,383
2068.5,452,389
2068.0,454,390
2071.5,398,374
2071.0,399,375
2070.5,406,378
2070.0,412,379
2073.0,366,366
2073.5,353,363
2072.0,390,369
2072.5,374,367
2075.0,345,362
