time,x,y
0.0,51,470
0.5,51,470
1.0,51,470
1.5,51,470
2.0,51,470
2.5,51,470
3.0,51,470
3.5,51,470
4.0,51,470
4.5,51,470
5.0,51,470
5.5,51,470
6.0,51,470
6.5,51,470
7.0,51,470
7.5,51,470
8.5,51,470
8.0,51,470
9.5,51,470
9.0,51,470
10.5,51,470
10.0,51,470
11.5,51,470
11.0,51,470
12.5,51,470
12.0,51,470
13.5,51,470
13.0,51,470
14.5,51,470
14.0,51,470
15.5,51,470
15.0,51,470
17.0,51,470
17.5,51,470
16.0,51,470
16.5,51,470
19.0,51,470
19.5,51,470
18.0,51,470
18.5,51,470
21.0,51,470
21.5,51,470
20.0,51,470
20.5,51,470
23.0,51,470
23.5,51,470
22.0,51,470
22.5,51,470
25.5,51,470
25.0,51,470
24.5,51,470
24.0,51,470
27.5,53,471
27.0,53,471
26.5,53,471
26.0,53,471
29.5,148,436
29.0,86,457
28.5,53,471
28.0,53,471
31.5,267,361
31.0,244,374
30.5,240,391
30.0,190,422
34.0,292,315
34.5,285,312
35.0,279,302
35.5,277,299
32.0,285,348
32.5,285,334
33.0,305,324
33.5,302,322
38.0,262,285
38.5,263,285
39.0,263,285
39.5,263,285
36.0,276,295
36.5,270,291
37.0,258,285
37.5,258,285
42.5,263,289
42.0,263,289
43.5,263,289
43.0,263,289
40.5,263,285
40.0,263,285
41.5,263,289
41.0,263,285
46.5,263,289
46.0,263,289
47.5,263,289
47.0,263,289
44.5,263,289
44.0,263,289
45.5,263,289
45.0,263,289
51.0,245,282
51.5,245,282
50.0,245,285
50.5,245,284
49.0,261,289
49.5,257,284
48.0,264,290
48.5,265,290
55.0,246,281
55.5,246,281
54.0,246,281
54.5,246,281
53.0,245,280
53.5,245,280
52.0,245,280
52.5,245,280
59.5,246,281
59.0,246,281
58.5,246,281
58.0,246,281
57.5,246,281
57.0,246,281
56.5,246,281
56.0,246,281
63.5,246,281
63.0,246,281
62.5,246,281
62.0,246,281
61.5,246,281
61.0,246,281
60.5,246,281
60.0,246,281
68.5,246,281
68.0,246,281
69.5,246,281
69.0,246,281
70.5,246,281
70.0,246,281
71.5,246,281
71.0,246,281
64.5,246,281
64.0,246,281
65.5,246,281
65.0,246,281
66.5,246,281
66.0,246,281
67.5,246,281
67.0,246,281
76.0,246,281
76.5,246,281
77.0,246,281
77.5,254,283
78.0,254,284
78.5,254,284
79.0,254,284
79.5,254,279
72.0,246,281
72.5,246,281
73.0,246,281
73.5,246,281
74.0,246,281
74.5,246,281
75.0,246,281
75.5,246,281
85.5,254,278
85.0,254,278
84.5,254,278
84.0,254,278
87.5,254,278
87.0,254,278
86.5,254,278
86.0,254,278
81.5,254,278
81.0,254,278
80.5,254,278
80.0,254,278
83.5,254,278
83.0,254,278
82.5,254,278
82.0,254,278
93.0,254,278
93.5,252,279
92.0,254,278
92.5,254,278
95.0,250,281
95.5,250,281
94.0,251,280
94.5,250,281
89.0,254,278
89.5,254,278
88.0,254,278
88.5,254,278
91.0,254,278
91.5,254,278
90.0,254,278
90.5,254,278
102.5,250,281
102.0,250,281
103.5,250,281
103.0,250,281
100.5,250,281
100.0,250,281
101.5,250,281
101.0,250,281
98.5,250,281
98.0,250,281
99.5,250,281
99.0,250,281
96.5,250,281
96.0,250,281
97.5,250,281
97.0,250,281
110.0,269,278
110.5,269,278
111.0,269,278
111.5,269,278
108.0,269,278
108.5,269,278
109.0,269,278
109.5,269,278
106.0,251,281
106.5,253,280
107.0,267,278
107.5,269,278
104.0,250,281
104.5,250,281
105.0,250,281
105.5,250,281
119.5,257,279
119.0,263,279
118.5,263,279
118.0,263,279
117.5,263,279
117.0,263,279
116.5,263,279
116.0,263,279
115.5,263,279
115.0,263,279
114.5,263,279
114.0,263,279
113.5,263,279
113.0,269,278
112.5,269,278
112.0,269,278
127.0,242,281
127.5,242,281
126.0,242,281
126.5,242,281
125.0,242,281
125.5,242,281
124.0,242,281
124.5,242,281
123.0,242,281
123.5,242,281
122.0,242,281
122.5,242,281
121.0,242,281
121.5,242,281
120.0,248,279
120.5,243,281
137.5,224,287
137.0,224,287
136.5,224,287
136.0,224,287
139.5,224,287
139.0,224,287
138.5,224,287
138.0,224,287
141.5,224,287
141.0,224,287
140.5,224,287
140.0,224,287
143.5,224,287
143.0,224,287
142.5,224,287
142.0,224,287
129.0,242,281
129.5,242,281
128.0,242,281
128.5,242,281
131.0,242,281
131.5,229,284
130.0,242,281
130.5,242,281
133.0,224,287
133.5,224,287
132.0,225,287
132.5,225,287
135.0,224,287
135.5,224,287
134.0,224,287
134.5,224,287
152.5,224,287
152.0,224,287
153.5,224,287
153.0,224,287
154.5,222,289
154.0,222,288
155.5,222,289
155.0,222,289
156.5,222,289
156.0,222,289
157.5,217,293
157.0,221,290
158.5,217,293
158.0,217,293
159.5,217,293
159.0,217,293
144.0,224,287
144.5,224,287
145.0,224,287
145.5,224,287
146.0,224,287
146.5,224,287
147.0,224,287
147.5,224,287
148.0,224,287
148.5,224,287
149.0,224,287
149.5,224,287
150.0,224,287
150.5,224,287
151.0,224,287
151.5,224,287
171.5,209,283
171.0,209,283
170.5,209,283
170.0,209,283
169.5,209,283
169.0,203,283
168.5,203,283
168.0,203,283
175.5,209,283
175.0,209,283
174.5,209,283
174.0,209,283
173.5,209,283
173.0,209,283
172.5,209,283
172.0,209,283
163.0,217,293
163.5,217,293
162.0,217,293
162.5,217,293
161.0,217,293
161.5,217,293
160.0,217,293
160.5,217,293
167.0,203,284
167.5,203,283
166.0,201,287
166.5,201,286
165.0,209,294
165.5,209,294
164.0,215,294
164.5,209,294
186.5,219,282
186.0,219,282
187.5,219,282
187.0,219,282
184.5,215,282
184.0,215,282
185.5,219,282
185.0,215,282
190.5,219,282
190.0,219,282
191.5,219,282
191.0,219,282
188.5,219,282
188.0,219,282
189.5,219,282
189.0,219,282
178.0,215,282
178.5,215,282
179.0,215,282
179.5,215,282
176.0,214,282
176.5,214,282
177.0,214,282
177.5,215,282
182.0,215,282
182.5,215,282
183.0,215,282
183.5,215,282
180.0,215,282
180.5,215,282
181.0,215,282
181.5,215,282
205.0,228,287
205.5,228,287
204.0,222,285
204.5,228,287
207.0,228,287
207.5,228,287
206.0,228,287
206.5,228,287
201.0,221,284
201.5,221,284
200.0,221,284
200.5,221,284
203.0,222,285
203.5,222,285
202.0,221,284
202.5,221,284
197.5,221,283
197.0,220,283
196.5,220,283
196.0,220,283
199.5,221,284
199.0,221,284
198.5,221,284
198.0,221,284
193.5,219,282
193.0,219,282
192.5,219,282
192.0,219,282
195.5,219,282
195.0,219,282
194.5,219,282
194.0,219,282
220.0,228,287
220.5,236,283
221.0,254,280
221.5,259,279
222.0,271,276
222.5,282,274
223.0,283,274
223.5,291,272
216.0,228,287
216.5,228,287
217.0,228,287
217.5,228,287
218.0,228,287
218.5,228,287
219.0,228,287
219.5,228,287
212.5,228,287
212.0,228,287
213.5,228,287
213.0,228,287
214.5,228,287
214.0,228,287
215.5,228,287
215.0,228,287
208.5,228,287
208.0,228,287
209.5,228,287
209.0,228,287
210.5,228,287
210.0,228,287
211.5,228,287
211.0,228,287
239.0,315,280
239.5,315,280
238.0,315,280
238.5,315,280
237.0,315,280
237.5,315,280
236.0,315,280
236.5,315,280
235.0,323,279
235.5,323,279
234.0,323,279
234.5,323,279
233.0,323,279
233.5,323,279
232.0,301,276
232.5,321,277
231.5,295,274
231.0,302,273
230.5,307,272
230.0,314,272
229.5,318,271
229.0,318,271
228.5,317,271
