time,x,y
0.0,229,287
0.5,223,284
1.0,214,282
1.5,210,281
2.0,203,280
2.5,202,279
3.0,202,279
3.5,202,279
4.0,202,279
4.5,200,279
5.0,183,286
5.5,182,286
6.0,173,285
6.5,171,285
7.0,167,285
7.5,164,284
8.5,140,285
8.0,146,283
9.5,135,293
9.0,136,291
10.5,138,293
10.0,136,293
11.5,147,299
11.0,143,296
12.5,162,307
12.0,153,302
13.5,181,315
13.0,165,307
14.5,208,321
14.0,192,317
15.5,235,331
15.0,228,328
17.0,305,341
17.5,326,341
16.0,257,336
16.5,289,343
19.0,367,344
19.5,391,339
18.0,348,341
18.5,365,344
21.0,416,331
21.5,419,328
20.0,403,334
20.5,414,333
23.0,414,319
23.5,414,307
22.0,414,321
22.5,414,320
25.5,411,304
25.0,411,304
24.5,415,303
24.0,414,307
27.5,396,294
27.0,401,299
26.5,404,301
26.0,406,302
29.5,394,287
29.0,394,288
28.5,393,291
28.0,395,293
31.5,402,280
31.0,400,282
30.5,400,283
30.0,396,285
34.0,369,284
34.5,366,283
35.0,364,284
35.5,362,285
32.0,402,280
32.5,400,278
33.0,375,290
33.5,375,286
38.0,353,289
38.5,353,289
39.0,342,288
39.5,325,288
36.0,360,286
36.5,355,287
37.0,353,287
37.5,353,295
42.5,287,282
42.0,297,284
43.5,276,283
43.0,285,282
40.5,316,288
40.0,322,288
41.5,297,284
41.0,307,289
46.5,233,277
46.0,235,277
47.5,229,278
47.0,233,277
44.5,269,282
44.0,271,282
45.5,242,277
45.0,260,280
51.0,233,281
51.5,233,281
50.0,222,278
50.5,228,280
49.0,219,277
49.5,219,277
48.0,228,278
48.5,220,277
55.0,232,284
55.5,232,284
54.0,232,284
54.5,232,284
53.0,232,284
53.5,232,284
52.0,232,284
52.5,232,284
59.5,296,284
59.0,280,284
58.5,273,283
58.0,268,283
57.5,262,283
57.0,245,284
56.5,232,284
56.0,232,284
63.5,382,305
63.0,381,297
62.5,353,294
62.0,344,293
61.5,338,292
61.0,324,291
60.5,299,284
60.0,299,284
68.5,344,337
68.0,369,333
69.5,339,337
69.0,339,337
70.5,293,330
70.0,321,330
71.5,273,325
71.0,276,327
64.5,382,306
64.0,382,306
65.5,381,315
65.0,381,311
66.5,381,320
66.0,381,318
67.5,378,327
67.0,378,323
76.0,242,298
76.5,237,297
77.0,237,297
77.5,237,296
78.0,237,296
78.5,238,296
79.0,251,296
79.5,268,294
72.0,269,322
72.5,257,317
73.0,256,317
73.5,253,309
74.0,253,309
74.5,248,305
75.0,248,305
75.5,245,298
85.5,275,279
85.0,282,278
84.5,283,278
84.0,283,278
87.5,258,275
87.0,264,276
86.5,272,276
86.0,274,278
81.5,283,279
81.0,281,280
80.5,281,280
80.0,281,280
83.5,283,278
83.0,283,278
82.5,283,278
82.0,283,278
93.0,187,256
93.5,189,258
92.0,202,259
92.5,187,256
95.0,189,260
95.5,189,260
94.0,189,260
94.5,189,260
89.0,239,270
89.5,234,266
88.0,247,272
88.5,240,270
91.0,208,260
91.5,205,259
90.0,223,264
90.5,223,264
102.5,230,264
102.0,230,264
103.5,243,266
103.0,238,266
100.5,211,264
100.0,207,264
101.5,230,264
101.0,222,264
98.5,197,263
98.0,195,263
99.5,197,263
99.0,197,263
96.5,189,260
96.0,189,260
97.5,190,260
97.0,189,260
110.0,271,272
110.5,271,272
111.0,271,272
111.5,271,272
108.0,264,271
108.5,271,272
109.0,271,272
109.5,271,272
106.0,279,266
106.5,277,268
107.0,264,269
107.5,256,270
104.0,245,267
104.5,256,266
105.0,267,265
105.5,279,265
119.5,246,281
119.0,250,275
118.5,251,274
118.0,251,274
117.5,263,275
117.0,274,277
116.5,277,279
116.0,277,279
115.5,277,279
115.0,277,279
114.5,277,279
114.0,277,279
113.5,277,279
113.0,277,279
112.5,278,281
112.0,271,281
127.0,260,280
127.5,260,282
126.0,254,282
126.5,258,280
125.0,254,282
125.5,254,282
124.0,254,282
124.5,254,282
123.0,254,282
123.5,254,282
122.0,254,282
122.5,254,282
121.0,262,281
121.5,254,282
120.0,246,281
120.5,248,282
137.5,302,289
137.0,320,294
136.5,325,296
136.0,334,297
139.5,277,284
139.0,281,284
138.5,283,284
138.0,287,284
141.5,262,284
141.0,262,284
140.5,263,284
140.0,269,285
143.5,262,284
143.0,262,284
142.5,262,284
142.0,262,284
129.0,267,284
129.5,281,287
128.0,259,282
128.5,254,283
131.0,302,297
131.5,318,301
130.0,286,288
130.5,296,294
133.0,317,302
133.5,317,302
132.0,318,303
132.5,317,302
135.0,330,299
135.5,334,297
134.0,317,302
134.5,319,302
152.5,262,284
152.0,262,284
153.5,262,284
153.0,262,284
154.5,262,284
154.0,262,284
155.5,262,284
155.0,262,284
156.5,262,284
156.0,262,284
157.5,256,283
157.0,265,284
158.5,212,279
158.0,209,279
159.5,169,273
159.0,190,278
144.0,262,284
144.5,262,284
145.0,262,284
145.5,262,284
146.0,262,284
146.5,262,284
147.0,262,284
147.5,262,284
148.0,262,284
148.5,262,284
149.0,262,284
149.5,262,284
150.0,262,284
150.5,262,284
151.0,262,284
151.5,262,284
171.5,219,278
171.0,219,278
170.5,228,278
170.0,229,278
169.5,216,278
169.0,216,278
