time,x,y
0.0,309,279
0.5,306,277
1.0,300,276
1.5,299,276
2.0,294,279
2.5,303,278
3.0,303,278
3.5,306,276
4.0,306,276
4.5,304,276
5.0,305,272
5.5,305,272
6.0,305,272
6.5,313,273
7.0,313,273
7.5,311,273
8.5,309,274
8.0,309,274
9.5,309,274
9.0,309,274
10.5,320,275
10.0,316,273
11.5,317,275
11.0,320,275
12.5,305,275
12.0,308,275
13.5,301,278
13.0,302,276
14.5,292,277
14.0,294,278
15.5,288,277
15.0,292,277
17.0,265,274
17.5,265,274
16.0,287,277
16.5,278,276
19.0,265,278
19.5,269,279
18.0,265,274
18.5,265,274
21.0,269,279
21.5,269,279
20.0,269,279
20.5,269,279
23.0,269,278
23.5,269,276
22.0,269,279
22.5,269,279
25.5,268,276
25.0,269,276
24.5,269,276
24.0,269,276
27.5,268,276
27.0,268,276
26.5,268,276
26.0,268,276
29.5,268,276
29.0,268,276
28.5,268,276
28.0,268,276
31.5,268,276
31.0,268,276
30.5,268,276
30.0,268,276
34.0,267,277
34.5,267,278
35.0,271,278
35.5,271,278
32.0,268,276
32.5,268,276
33.0,267,277
33.5,267,277
38.0,270,278
38.5,270,276
39.0,270,276
39.5,269,276
36.0,271,278
36.5,271,278
37.0,270,278
37.5,270,278
42.5,269,276
42.0,269,276
43.5,269,276
43.0,269,276
40.5,269,276
40.0,269,276
41.5,269,276
41.0,269,276
46.5,269,276
46.0,269,276
47.5,269,276
47.0,269,276
44.5,269,276
44.0,269,276
45.5,269,276
45.0,269,276
51.0,267,276
51.5,267,276
50.0,267,276
50.5,267,276
49.0,267,276
49.5,267,276
48.0,269,276
48.5,268,276
55.0,266,275
55.5,266,275
54.0,266,275
54.5,266,275
53.0,267,276
53.5,267,275
52.0,267,276
52.5,267,276
59.5,266,275
59.0,266,275
58.5,266,275
58.0,266,275
57.5,266,275
57.0,266,275
56.5,266,275
56.0,266,275
63.5,259,274
63.0,259,274
62.5,259,274
62.0,259,274
61.5,259,274
61.0,266,275
60.5,266,275
60.0,266,275
68.5,272,274
68.0,259,274
69.5,283,281
69.0,272,274
70.5,299,281
70.0,290,280
71.5,306,281
71.0,303,281
64.5,259,274
64.0,259,274
65.5,259,274
65.0,259,274
66.5,259,274
66.0,259,274
67.5,259,274
67.0,259,274
76.0,273,271
76.5,271,270
77.0,283,269
77.5,290,273
78.0,299,274
78.5,304,274
79.0,304,274
79.5,304,274
72.0,306,281
72.5,306,281
73.0,312,280
73.5,312,280
74.0,312,280
74.5,306,278
75.0,300,277
75.5,285,271
85.5,309,278
85.0,309,278
84.5,309,278
84.0,309,278
87.5,309,278
87.0,309,278
86.5,309,278
86.0,309,278
81.5,309,274
81.0,309,274
80.5,309,274
80.0,309,274
83.5,309,278
83.0,309,276
82.5,309,274
82.0,309,274
93.0,309,278
93.5,307,278
92.0,309,278
92.5,309,278
95.0,301,274
95.5,309,273
94.0,295,274
94.5,295,274
89.0,309,278
89.5,309,278
88.0,309,278
88.5,309,278
91.0,309,278
91.5,309,278
90.0,309,278
90.5,309,278
102.5,275,281
102.0,275,281
103.5,275,281
103.0,275,281
100.5,275,281
100.0,275,281
101.5,275,281
101.0,275,281
98.5,285,281
98.0,285,281
99.5,277,281
99.0,281,281
96.5,316,281
96.0,317,282
97.5,297,283
97.0,297,283
110.0,288,280
110.5,288,280
111.0,288,280
111.5,288,280
108.0,288,280
108.5,288,280
109.0,288,280
109.5,288,280
106.0,282,279
106.5,282,279
107.0,288,280
107.5,288,280
104.0,275,281
104.5,282,279
105.0,282,279
105.5,282,279
119.5,254,284
119.0,254,284
118.5,268,287
118.0,268,288
117.5,271,289
117.0,281,284
116.5,283,281
116.0,279,278
115.5,279,277
115.0,279,277
114.5,288,281
114.0,288,281
113.5,292,283
113.0,293,283
112.5,293,283
112.0,296,280
127.0,283,283
127.5,283,283
126.0,283,283
126.5,283,283
125.0,277,284
125.5,277,284
124.0,269,284
124.5,275,284
123.0,254,282
123.5,267,284
122.0,254,283
122.5,254,282
121.0,249,284
121.5,249,284
120.0,249,284
120.5,249,284
137.5,275,281
137.0,279,281
136.5,289,282
136.0,289,282
139.5,242,282
139.0,247,284
138.5,248,283
138.0,253,280
141.5,240,283
141.0,240,283
140.5,240,283
140.0,240,283
143.5,240,283
143.0,240,283
142.5,240,283
142.0,240,283
129.0,296,287
129.5,295,288
128.0,285,283
128.5,295,286
131.0,295,288
131.5,295,288
130.0,295,288
130.5,295,288
133.0,295,288
133.5,295,288
132.0,295,288
132.5,295,288
135.0,293,287
135.5,289,282
134.0,295,288
134.5,295,288
152.5,235,284
152.0,235,284
153.5,228,281
153.0,228,281
154.5,228,281
154.0,228,281
155.5,228,281
155.0,228,281
156.5,226,281
156.0,226,281
157.5,220,283
157.0,223,281
158.5,217,285
158.0,217,285
159.5,217,285
159.0,217,285
144.0,240,283
144.5,240,283
145.0,240,283
145.5,240,283
146.0,240,283
146.5,240,283
147.0,240,283
147.5,240,283
148.0,240,283
148.5,240,283
149.0,240,283
149.5,240,283
150.0,240,283
150.5,240,283
151.0,240,283
151.5,240,283
171.5,178,279
171.0,190,278
170.5,196,278
170.0,200,278
169.5,200,278
169.0,200,278
168.5,200,278
168.0,192,279
175.5,201,286
175.0,201,286
174.5,201,286
174.0,201,286
173.5,197,286
173.0,191,288
172.5,185,292
172.0,180,281
163.0,217,285
163.5,191,291
162.0,217,285
162.5,217,285
161.0,217,285
161.5,217,285
160.0,217,285
160.5,217,285
167.0,192,279
167.5,192,279
166.0,192,279
166.5,192,279
165.0,189,283
165.5,195,279
164.0,185,289
164.5,185,286
186.5,224,277
186.0,224,277
187.5,235,278
187.0,226,277
184.5,288,282
184.0,290,282
185.5,257,279
185.0,281,282
190.5,237,278
190.0,237,278
191.5,232,277
191.0,226,278
188.5,237,278
188.0,237,278
189.5,237,278
189.0,237,278
178.0,190,278
178.5,192,280
179.0,201,281
179.5,221,284
176.0,201,286
176.5,201,286
177.0,201,286
177.5,190,278
182.0,284,283
182.5,291,282
183.0,291,282
183.5,290,282
180.0,236,286
180.5,264,286
181.0,271,283
181.5,284,283
205.0,233,277
205.5,233,283
204.0,233,277
204.5,233,277
207.0,233,280
207.5,233,280
206.0,233,283
206.5,233,280
201.0,233,277
201.5,233,277
200.0,233,277
200.5,233,277
203.0,233,277
203.5,233,277
202.0,233,277
202.5,233,277
197.5,229,277
197.0,229,277
196.5,229,277
196.0,229,277
199.5,233,277
199.0,233,277
198.5,229,277
198.0,229,277
193.5,229,277
193.0,229,277
192.5,229,277
192.0,229,277
195.5,229,277
195.0,229,277
194.5,229,277
194.0,229,277
220.0,233,280
220.5,233,280
221.0,233,280
221.5,228,280
222.0,223,279
222.5,222,279
223.0,222,279
223.5,225,278
216.0,233,280
216.5,233,280
217.0,233,280
217.5,233,280
218.0,233,280
218.5,233,280
219.0,233,280
219.5,233,280
212.5,233,280
212.0,233,280
213.5,233,280
213.0,233,280
214.5,233,280
214.0,233,280
215.5,233,280
215.0,233,280
208.5,233,280
208.0,233,280
209.5,233,280
209.0,233,280
210.5,233,280
210.0,233,280
211.5,233,280
211.0,233,280
239.0,234,283
239.5,234,283
238.0,234,283
238.5,234,283
237.0,234,283
237.5,234,283
236.0,232,283
236.5,234,283
235.0,229,282
235.5,229,282
234.0,229,282
234.5,229,282
233.0,228,282
233.5,229,282
232.0,226,282
232.5,228,282
231.5,222,282
231.0,222,282
230.5,222,282
230.0,222,282
229.5,222,282
229.0,222,282
228.5,222,282
228.0,222,282
227.5,222,282
227.0,222,282
226.5,222,282
226.0,222,282
225.5,222,282
225.0,222,282
224.5,222,282
224.0,225,278
254.0,309,269
254.5,310,268
255.0,301,267
255.5,301,267
252.0,308,270
252.5,310,269
253.0,310,269
253.5,308,270
250.0,303,275
250.5,303,274
251.0,303,274
251.5,303,274
248.0,293,282
248.5,293,282
249.0,298,280
249.5,298,280
246.5,293,282
246.0,293,282
247.5,293,282
247.0,293,282
244.5,284,283
244.0,284,283
245.5,293,282
245.0,288,283
242.5,273,283
242.0,266,279
243.5,277,283
243.0,273,283
240.5,250,280
240.0,246,281
241.5,266,279
241.0,255,280
275.0,301,265
275.5,301,265
274.0,297,265
