time,x,y
0.0,293,265
0.5,293,265
1.0,285,270
1.5,275,274
2.0,264,274
2.5,263,275
3.0,259,275
3.5,275,269
4.0,278,268
4.5,307,266
5.0,310,266
5.5,332,268
6.0,343,272
6.5,358,273
7.0,379,272
7.5,385,272
8.5,405,275
8.0,392,275
9.5,431,284
9.0,430,284
10.5,459,289
10.0,449,288
11.5,470,294
11.0,459,289
12.5,481,299
12.0,475,296
13.5,474,300
13.0,474,300
14.5,457,307
14.0,466,307
15.5,432,304
15.0,439,306
17.0,398,304
17.5,388,302
16.0,407,306
16.5,399,305
19.0,354,299
19.5,342,295
18.0,370,302
18.5,356,300
21.0,322,292
21.5,305,288
20.0,334,294
20.5,327,293
23.0,271,287
23.5,263,285
22.0,304,288
22.5,300,287
25.5,263,277
25.0,262,277
24.5,261,283
24.0,262,284
27.5,286,280
27.0,279,275
26.5,267,276
26.0,264,277
29.5,278,279
29.0,286,280
28.5,286,280
28.0,286,280
31.5,284,279
31.0,284,279
30.5,284,279
30.0,284,279
34.0,284,279
34.5,284,279
35.0,284,279
35.5,278,279
32.0,284,279
32.5,284,279
33.0,284,279
33.5,284,279
38.0,266,276
38.5,250,276
39.0,241,279
39.5,240,279
36.0,277,280
36.5,274,279
37.0,272,278
37.5,272,278
42.5,219,278
42.0,222,278
43.5,215,277
43.0,216,277
40.5,235,279
40.0,239,279
41.5,232,279
41.0,232,279
46.5,233,272
46.0,216,273
47.5,248,271
47.0,243,272
44.5,195,274
44.0,196,274
45.5,193,274
45.0,195,274
51.0,281,271
51.5,281,271
50.0,281,271
50.5,281,271
49.0,281,271
49.5,281,271
48.0,274,272
48.5,281,271
55.0,277,271
55.5,277,271
54.0,277,271
54.5,277,271
53.0,277,271
53.5,277,271
52.0,281,271
52.5,281,271
59.5,279,271
59.0,279,271
58.5,279,271
58.0,279,271
57.5,277,271
57.0,277,271
56.5,277,271
56.0,277,271
63.5,302,274
63.0,302,274
62.5,302,274
62.0,302,274
61.5,302,274
61.0,297,276
60.5,297,276
60.0,293,275
68.5,352,272
68.0,354,273
69.5,352,272
69.0,352,272
70.5,376,267
70.0,362,269
71.5,412,265
71.0,388,265
64.5,302,274
64.0,302,274
65.5,341,274
65.0,320,273
66.5,360,274
66.0,359,274
67.5,354,273
67.0,359,274
76.0,468,285
76.5,470,280
77.0,470,280
77.5,470,280
78.0,470,280
78.5,470,280
79.0,470,280
79.5,470,280
72.0,412,265
72.5,422,269
73.0,435,270
73.5,447,274
74.0,458,274
74.5,458,274
75.0,465,279
75.5,465,280
85.5,476,280
85.0,476,280
84.5,476,280
84.0,476,280
87.5,476,280
87.0,476,280
86.5,476,280
86.0,476,280
81.5,470,280
81.0,470,280
80.5,470,280
80.0,470,280
83.5,476,280
83.0,470,280
82.5,470,280
82.0,470,280
93.0,478,280
93.5,485,284
92.0,478,280
