time,x,y
0.0,19,467
0.5,19,467
1.0,19,467
1.5,19,467
2.0,19,467
2.5,19,467
3.0,19,467
3.5,19,467
4.0,19,467
4.5,19,467
5.0,19,467
5.5,19,467
6.0,19,467
6.5,19,467
7.0,19,467
7.5,19,467
8.5,19,467
8.0,19,467
9.5,19,467
9.0,19,467
10.5,19,467
10.0,19,467
11.5,19,467
11.0,19,467
12.5,19,467
12.0,19,467
13.5,19,467
13.0,19,467
14.5,19,467
14.0,19,467
15.5,19,467
15.0,19,467
17.0,19,467
17.5,19,467
16.0,19,467
16.5,19,467
19.0,19,467
19.5,19,467
18.0,19,467
18.5,19,467
21.0,19,467
21.5,19,467
20.0,19,467
20.5,19,467
23.0,19,467
23.5,19,467
22.0,19,467
22.5,19,467
25.5,19,467
25.0,19,467
24.5,19,467
24.0,19,467
27.5,19,467
27.0,19,467
26.5,19,467
26.0,19,467
29.5,19,467
29.0,19,467
28.5,19,467
28.0,19,467
31.5,19,467
31.0,19,467
30.5,19,467
30.0,19,467
34.0,19,467
34.5,19,467
32.0,19,467
32.5,19,467
33.0,19,467
33.5,19,467
38.0,107,401
38.5,164,388
39.0,174,371
39.5,203,357
36.0,19,467
36.5,19,467
37.0,19,467
37.5,81,402
42.5,394,315
42.0,388,317
43.5,436,292
43.0,413,302
40.5,276,348
40.0,249,352
41.5,347,325
41.0,313,329
46.5,406,272
46.0,404,271
47.5,409,272
47.0,409,272
44.5,452,277
44.0,450,275
45.5,415,270
45.0,434,274
51.0,409,272
51.5,409,272
50.0,409,272
50.5,409,272
49.0,409,272
49.5,409,272
48.0,409,272
48.5,409,272
55.0,409,272
55.5,409,272
54.0,409,272
54.5,409,272
53.0,409,272
53.5,409,272
52.0,409,272
52.5,409,272
59.5,372,263
59.0,371,263
58.5,371,263
58.0,376,265
57.5,376,265
57.0,388,269
56.5,393,270
56.0,407,272
63.5,377,266
63.0,377,266
62.5,377,266
62.0,377,266
61.5,377,265
61.0,376,265
60.5,376,265
60.0,373,263
68.5,377,266
68.0,377,266
69.5,377,266
69.0,377,266
70.5,377,266
70.0,377,266
71.5,377,266
71.0,377,266
64.5,377,266
64.0,377,266
65.5,377,266
65.0,377,266
66.5,377,266
66.0,377,266
67.5,377,266
67.0,377,266
76.0,329,250
76.5,316,248
77.0,304,247
77.5,288,243
78.0,275,242
78.5,272,239
79.0,270,238
79.5,270,238
72.0,377,266
72.5,377,266
73.0,370,264
73.5,366,263
74.0,366,262
74.5,363,261
