time,x,y
0.0,373,367
0.5,371,369
1.0,370,351
1.5,354,351
2.0,346,347
2.5,338,333
3.0,328,330
3.5,328,320
4.0,334,316
4.5,340,312
5.0,338,312
5.5,338,312
6.0,338,312
6.5,335,310
7.0,335,310
7.5,335,310
8.5,340,306
8.0,335,310
9.5,347,302
9.0,342,305
10.5,342,295
10.0,345,301
11.5,347,293
11.0,347,293
12.5,363,288
12.0,348,291
13.5,368,280
13.0,369,280
14.5,376,284
14.0,370,283
15.5,400,282
15.0,393,286
17.0,400,276
17.5,400,276
16.0,400,276
16.5,400,276
19.0,389,282
19.5,384,284
18.0,400,276
18.5,392,280
21.0,384,288
21.5,381,293
20.0,384,284
20.5,384,288
23.0,375,300
23.5,375,300
22.0,383,292
22.5,375,302
25.5,357,300
25.0,361,300
24.5,371,301
24.0,373,300
27.5,353,299
27.0,353,299
26.5,360,297
26.0,360,296
29.5,376,299
29.0,370,299
28.5,360,299
28.0,353,299
31.5,391,289
31.0,389,289
30.5,387,289
30.0,376,297
34.0,409,289
34.5,408,289
35.0,407,289
35.5,406,289
32.0,396,289
32.5,408,289
33.0,408,289
33.5,409,289
38.0,405,286
38.5,405,286
39.0,405,286
39.5,405,286
36.0,401,289
36.5,400,289
37.0,400,289
37.5,400,289
42.5,390,289
42.0,391,289
43.5,387,289
43.0,387,289
40.5,405,286
40.0,405,286
41.5,396,289
41.0,397,289
46.5,348,278
46.0,359,281
47.5,368,277
47.0,354,278
44.5,387,289
44.0,387,289
45.5,379,282
45.0,387,287
51.0,372,282
51.5,371,282
50.0,372,282
50.5,372,282
49.0,376,280
49.5,373,282
48.0,376,277
48.5,376,277
55.0,371,282
55.5,371,282
54.0,371,282
54.5,371,282
53.0,371,282
53.5,371,282
52.0,371,282
52.5,371,282
59.5,363,274
59.0,364,274
58.5,373,274
58.0,371,274
57.5,366,274
57.0,366,278
56.5,368,282
56.0,370,282
63.5,311,263
63.0,313,266
62.5,327,268
62.0,327,268
61.5,329,268
61.0,343,274
60.5,346,274
60.0,361,274
68.5,267,261
68.0,274,263
69.5,267,261
69.0,267,261
70.5,262,262
70.0,267,261
71.5,252,262
71.0,256,262
64.5,296,263
64.0,303,263
65.5,275,263
65.0,285,263
66.5,273,263
66.0,273,263
67.5,274,263
67.0,273,263
76.0,201,270
76.5,202,269
77.0,202,269
77.5,202,270
