time,x,y
0.0,293,287
0.5,277,281
1.0,262,280
1.5,249,277
2.0,236,275
2.5,227,277
3.0,210,281
3.5,210,281
4.0,199,279
4.5,186,279
5.0,180,279
5.5,170,277
6.0,160,279
6.5,154,283
7.0,154,283
7.5,154,283
8.5,175,283
8.0,162,283
9.5,183,281
9.0,183,281
10.5,215,282
10.0,198,286
11.5,241,275
11.0,219,279
12.5,258,275
12.0,241,275
13.5,261,275
13.0,261,275
14.5,261,277
14.0,261,275
15.5,260,277
15.0,261,277
17.0,259,277
17.5,252,278
16.0,259,277
16.5,259,277
19.0,252,278
19.5,252,278
18.0,252,278
18.5,252,278
21.0,252,278
21.5,252,278
20.0,252,278
20.5,252,278
23.0,252,278
23.5,252,278
22.0,252,278
22.5,252,278
25.5,252,278
25.0,252,278
24.5,252,278
24.0,252,278
27.5,252,278
27.0,252,278
26.5,252,278
26.0,252,278
29.5,252,278
29.0,252,278
28.5,252,278
28.0,252,278
31.5,252,278
31.0,252,278
30.5,252,278
30.0,252,278
34.0,252,278
34.5,252,278
35.0,252,278
35.5,252,278
32.0,252,278
32.5,252,278
33.0,252,278
33.5,252,278
38.0,252,278
38.5,252,278
39.0,252,278
39.5,252,278
36.0,252,278
36.5,252,278
37.0,252,278
37.5,252,278
42.5,252,278
42.0,252,278
43.5,252,278
43.0,252,278
40.5,252,278
40.0,252,278
41.5,252,278
41.0,252,278
46.5,232,278
46.0,232,278
47.5,232,278
47.0,232,278
44.5,239,278
44.0,252,278
45.5,233,278
45.0,233,278
51.0,232,278
51.5,232,278
50.0,232,278
50.5,232,278
49.0,232,278
49.5,232,278
48.0,232,278
48.5,232,278
55.0,232,278
55.5,232,278
54.0,232,278
54.5,232,278
53.0,232,278
53.5,232,278
52.0,232,278
52.5,232,278
59.5,233,276
59.0,233,276
58.5,229,278
58.0,230,278
57.5,233,279
57.0,234,279
56.5,232,278
56.0,232,278
63.5,233,276
63.0,233,276
62.5,233,276
62.0,233,276
61.5,233,276
61.0,233,276
60.5,233,276
60.0,233,276
68.5,229,276
68.0,229,276
69.5,229,276
69.0,229,276
70.5,248,277
70.0,242,277
71.5,254,281
71.0,254,281
64.5,233,276
64.0,233,276
65.5,233,276
65.0,233,276
66.5,229,276
66.0,230,276
67.5,229,276
67.0,229,276
76.0,245,276
76.5,249,277
77.0,249,278
77.5,249,280
78.0,249,280
78.5,249,280
79.0,249,280
79.5,249,280
72.0,254,281
72.5,245,276
73.0,245,276
73.5,245,276
74.0,245,276
74.5,245,276
75.0,245,276
75.5,245,276
85.5,249,282
85.0,249,282
84.5,249,282
84.0,249,282
87.5,249,282
87.0,249,282
86.5,249,282
86.0,249,282
81.5,249,280
81.0,249,280
80.5,249,280
80.0,249,280
83.5,249,282
83.0,249,281
82.5,249,280
82.0,249,280
93.0,248,278
93.5,248,278
92.0,248,278
92.5,248,278
95.0,248,278
95.5,254,278
94.0,248,278
94.5,248,278
89.0,248,278
89.5,248,278
88.0,249,282
88.5,248,278
91.0,248,278
91.5,248,278
90.0,248,278
90.5,248,278
102.5,253,279
102.0,253,279
103.5,253,279
103.0,253,279
100.5,253,279
100.0,253,279
101.5,253,279
101.0,253,279
98.5,253,280
98.0,253,280
99.5,253,280
99.0,253,280
96.5,253,280
96.0,253,280
97.5,253,280
97.0,253,280
110.0,253,279
110.5,253,279
111.0,253,279
111.5,253,279
108.0,253,279
108.5,253,279
109.0,253,279
109.5,253,279
106.0,253,279
106.5,253,279
107.0,253,279
107.5,253,279
104.0,253,279
104.5,253,279
105.0,253,279
105.5,253,279
119.5,253,279
119.0,253,279
118.5,253,279
118.0,253,279
117.5,253,279
117.0,253,279
116.5,253,279
116.0,253,279
115.5,253,279
115.0,253,279
114.5,253,279
114.0,253,279
113.5,253,279
113.0,253,279
112.5,253,279
112.0,253,279
127.0,253,279
127.5,253,279
126.0,253,279
126.5,253,279
125.0,253,279
125.5,253,279
124.0,253,279
124.5,253,279
123.0,253,279
123.5,253,279
122.0,253,279
122.5,253,279
121.0,253,279
121.5,253,279
120.0,253,279
120.5,253,279
137.5,234,287
137.0,237,285
136.5,241,282
136.0,241,282
139.5,236,285
139.0,234,287
138.5,234,287
138.0,234,287
141.5,236,285
141.0,236,285
140.5,236,285
140.0,236,285
143.5,236,285
143.0,236,285
142.5,236,285
142.0,236,285
129.0,253,279
129.5,253,279
128.0,253,279
128.5,253,279
131.0,253,279
131.5,253,279
130.0,253,279
130.5,253,279
133.0,241,282
133.5,241,282
132.0,253,279
132.5,241,282
135.0,241,282
135.5,241,282
134.0,241,282
134.5,241,282
152.5,236,285
152.0,236,285
