time,x,y
0.0,159,309
0.5,159,309
1.0,159,309
1.5,159,309
2.0,159,309
2.5,159,309
3.0,154,308
3.5,154,308
4.0,154,308
4.5,154,308
5.0,154,308
5.5,154,308
6.0,154,308
6.5,154,308
7.0,162,302
7.5,162,302
8.5,188,292
8.0,165,300
9.5,207,290
9.0,194,291
10.5,239,289
10.0,230,290
11.5,261,285
11.0,243,286
12.5,270,284
12.0,270,284
13.5,294,283
13.0,291,283
14.5,323,277
14.0,310,280
15.5,334,275
15.0,334,275
17.0,351,275
17.5,351,275
16.0,336,275
16.5,336,275
19.0,351,275
19.5,351,275
18.0,351,275
18.5,351,275
21.0,359,273
21.5,358,271
20.0,352,275
20.5,359,273
23.0,358,271
23.5,358,271
22.0,358,271
22.5,358,271
25.5,368,270
25.0,358,271
24.5,358,271
24.0,358,271
27.5,399,273
27.0,393,273
26.5,389,273
26.0,376,273
29.5,457,269
29.0,443,270
28.5,441,270
28.0,417,273
31.5,483,270
31.0,479,268
30.5,474,267
30.0,470,267
34.0,482,272
34.5,482,272
35.0,482,272
35.5,482,272
32.0,483,271
32.5,482,272
33.0,482,272
33.5,482,272
38.0,447,272
38.5,438,271
39.0,428,269
39.5,427,269
36.0,482,272
36.5,482,272
37.0,482,272
37.5,476,272
42.5,409,272
42.0,409,272
43.5,409,272
43.0,409,272
40.5,414,270
40.0,420,269
41.5,409,272
41.0,413,271
46.5,448,281
46.0,448,281
47.5,448,281
47.0,448,281
44.5,437,278
44.0,422,273
45.5,448,278
45.0,445,278
51.0,414,268
51.5,414,268
50.0,421,268
50.5,414,268
49.0,438,273
49.5,425,268
48.0,448,281
48.5,446,274
55.0,429,269
55.5,429,269
54.0,429,269
54.5,429,269
53.0,423,272
53.5,424,272
52.0,414,268
52.5,414,269
59.5,429,269
59.0,429,269
58.5,429,269
58.0,429,269
57.5,429,269
57.0,429,269
56.5,429,269
56.0,429,269
63.5,477,297
63.0,476,291
62.5,467,285
62.0,444,277
61.5,444,277
61.0,439,274
60.5,429,269
60.0,429,269
68.5,493,322
68.0,493,322
69.5,493,322
69.0,493,322
70.5,493,322
70.0,493,322
71.5,493,322
71.0,493,322
64.5,484,310
64.0,484,302
65.5,480,314
65.0,480,310
66.5,493,322
66.0,478,316
67.5,493,322
67.0,493,322
76.0,396,323
76.5,392,316
77.0,381,299
77.5,360,292
78.0,356,289
78.5,352,286
79.0,355,281
79.5,355,280
72.0,493,322
72.5,486,324
73.0,473,329
73.5,462,334
74.0,445,336
74.5,428,337
75.0,414,335
75.5,409,333
85.5,357,260
85.0,359,262
84.5,359,262
84.0,355,264
87.5,349,257
87.0,351,259
86.5,351,259
86.0,351,259
81.5,348,274
81.0,350,274
80.5,354,277
80.0,357,278
83.5,357,269
83.0,356,269
82.5,351,268
82.0,347,275
93.0,350,259
