time,x,y
0.0,187,320
0.5,187,320
1.0,183,320
1.5,183,320
2.0,183,320
2.5,183,320
3.0,183,320
3.5,183,320
4.0,182,322
4.5,182,323
5.0,182,323
5.5,182,323
6.0,185,323
6.5,191,322
7.0,195,322
7.5,195,322
8.5,203,314
8.0,195,322
9.5,205,313
9.0,205,313
10.5,198,305
10.0,202,306
11.5,196,300
11.0,194,303
12.5,205,299
12.0,200,300
13.5,211,293
13.0,205,299
14.5,207,296
14.0,211,293
15.5,207,296
15.0,207,296
17.0,207,296
17.5,207,296
16.0,207,296
16.5,207,296
19.0,207,296
19.5,207,296
18.0,207,296
18.5,207,296
21.0,207,296
21.5,207,296
20.0,207,296
20.5,207,296
23.0,207,296
23.5,207,296
22.0,207,296
22.5,207,296
25.5,207,296
25.0,207,296
24.5,207,296
24.0,207,296
27.5,207,296
27.0,207,296
26.5,207,296
26.0,207,296
29.5,207,296
29.0,207,296
28.5,207,296
28.0,207,296
31.5,207,296
31.0,207,296
30.5,207,296
30.0,207,296
34.0,207,296
34.5,207,296
35.0,207,296
35.5,207,296
32.0,207,296
32.5,207,296
33.0,207,296
33.5,207,296
38.0,207,296
38.5,207,296
39.0,207,296
39.5,207,296
36.0,207,296
36.5,207,296
37.0,207,296
37.5,207,296
42.5,207,296
42.0,207,296
43.5,207,296
43.0,207,296
40.5,207,296
40.0,207,296
41.5,207,296
41.0,207,296
46.5,207,296
46.0,207,296
47.5,207,296
47.0,207,296
44.5,207,296
44.0,207,296
45.5,207,296
45.0,207,296
51.0,207,296
51.5,207,296
50.0,207,296
50.5,207,296
49.0,207,296
49.5,207,296
48.0,207,296
48.5,207,296
55.0,207,296
55.5,207,296
54.0,207,296
54.5,207,296
53.0,207,296
53.5,207,296
52.0,207,296
52.5,207,296
59.5,210,295
59.0,208,296
58.5,207,296
58.0,207,296
57.5,207,296
57.0,207,296
56.5,207,296
56.0,207,296
63.5,211,291
63.0,211,291
62.5,211,291
62.0,211,291
61.5,210,294
61.0,210,294
60.5,210,294
60.0,210,295
68.5,208,268
68.0,201,271
69.5,210,268
69.0,210,268
70.5,230,255
70.0,226,258
71.5,232,253
71.0,230,255
64.5,211,291
64.0,211,291
65.5,203,283
65.0,208,288
66.5,196,278
66.0,197,280
67.5,195,273
67.0,193,277
76.0,236,254
76.5,236,254
77.0,248,252
77.5,248,252
78.0,246,252
78.5,246,252
79.0,246,252
79.5,245,252
72.0,234,252
72.5,236,251
73.0,236,251
73.5,236,251
74.0,236,254
74.5,236,254
75.0,236,254
75.5,236,254
85.5,234,253
85.0,234,253
84.5,234,253
84.0,239,252
87.5,234,253
87.0,234,253
86.5,234,253
86.0,234,253
81.5,245,252
81.0,245,252
80.5,245,252
80.0,245,252
83.5,239,252
83.0,239,252
82.5,239,252
82.0,239,252
93.0,226,254
93.5,226,254
92.0,226,254
92.5,226,254
95.0,226,254
95.5,226,254
94.0,226,254
94.5,226,254
89.0,230,253
89.5,229,253
88.0,234,253
88.5,230,253
91.0,226,254
91.5,226,254
90.0,229,253
90.5,227,254
102.5,226,254
102.0,226,254
103.5,254,257
103.0,237,257
100.5,226,254
100.0,226,254
101.5,226,254
101.0,226,254
98.5,226,254
98.0,226,254
99.5,226,254
99.0,226,254
96.5,226,254
96.0,226,254
97.5,226,254
97.0,226,254
110.0,336,267
110.5,336,267
111.0,336,267
111.5,336,267
108.0,325,263
108.5,338,265
109.0,337,266
109.5,336,267
106.0,287,262
106.5,289,262
107.0,302,262
107.5,316,262
104.0,254,257
104.5,254,257
105.0,275,258
105.5,284,261
119.5,335,267
119.0,335,267
118.5,335,267
118.0,335,267
117.5,335,267
117.0,335,267
116.5,335,267
116.0,335,267
115.5,335,267
115.0,335,267
114.5,335,267
114.0,335,267
113.5,335,267
113.0,335,267
112.5,336,267
112.0,336,267
127.0,342,269
127.5,342,269
126.0,342,269
126.5,342,269
125.0,342,269
125.5,342,269
124.0,342,269
124.5,342,269
123.0,337,267
123.5,342,269
122.0,335,267
122.5,337,267
121.0,335,267
121.5,335,267
120.0,335,267
120.5,335,267
137.5,349,278
137.0,334,271
136.5,329,271
136.0,323,274
139.5,357,284
139.0,356,280
138.5,356,280
138.0,353,279
141.5,314,290
141.0,333,290
140.5,354,288
140.0,368,288
143.5,280,291
143.0,287,292
142.5,297,292
142.0,310,291
129.0,332,270
