time,x,y
0.0,28,476
0.5,28,476
1.0,28,476
1.5,28,476
2.0,28,476
2.5,28,476
3.0,28,476
3.5,28,476
4.0,28,476
4.5,28,476
5.0,28,476
5.5,28,476
6.0,28,476
6.5,28,476
7.0,28,476
7.5,28,476
8.5,28,476
8.0,28,476
9.5,28,476
9.0,28,476
10.5,28,476
10.0,28,476
11.5,28,476
11.0,28,476
12.5,28,476
12.0,28,476
13.5,28,476
13.0,28,476
14.5,28,476
14.0,28,476
15.5,28,476
15.0,28,476
17.0,28,476
17.5,28,476
16.0,28,476
16.5,28,476
19.0,28,476
19.5,28,476
18.0,28,476
18.5,28,476
21.0,28,476
21.5,28,476
20.0,28,476
20.5,28,476
23.0,28,476
23.5,28,476
22.0,28,476
22.5,28,476
25.5,28,476
25.0,28,476
24.5,28,476
24.0,28,476
27.5,28,476
27.0,28,476
26.5,28,476
26.0,28,476
29.5,28,476
29.0,28,476
28.5,28,476
28.0,28,476
31.5,28,476
31.0,28,476
30.5,28,476
30.0,28,476
34.0,28,476
34.5,28,476
35.0,28,476
35.5,28,476
32.0,28,476
32.5,28,476
33.0,28,476
33.5,28,476
38.0,156,420
38.5,211,412
39.0,243,390
39.5,265,362
36.0,28,476
36.5,28,476
37.0,35,471
37.5,98,438
42.5,442,327
42.0,426,330
43.5,444,326
43.0,444,326
40.5,326,340
40.0,291,353
41.5,402,337
41.0,362,337
46.5,439,323
46.0,439,323
47.5,439,323
47.0,439,323
44.5,445,326
44.0,445,326
45.5,443,324
45.0,445,326
51.0,415,314
51.5,414,314
50.0,432,322
50.5,418,317
49.0,432,322
49.5,432,322
48.0,439,323
48.5,432,322
55.0,411,317
55.5,411,317
54.0,411,317
54.5,411,317
53.0,411,317
53.5,411,317
52.0,407,320
52.5,411,317
59.5,411,317
59.0,411,317
58.5,411,317
58.0,411,317
57.5,411,317
57.0,411,317
56.5,411,317
56.0,411,317
63.5,411,317
63.0,411,317
62.5,411,317
62.0,411,317
61.5,411,317
61.0,411,317
60.5,411,317
60.0,411,317
68.5,469,324
68.0,469,324
69.5,469,324
69.0,469,324
70.5,465,322
70.0,466,323
71.5,459,319
71.0,462,321
64.5,411,317
64.0,411,317
65.5,418,317
65.0,411,317
66.5,457,320
66.0,448,320
67.5,472,323
67.0,475,323
76.0,458,317
76.5,456,317
77.0,456,317
77.5,455,318
78.0,455,318
78.5,443,316
79.0,436,315
79.5,405,313
72.0,459,319
72.5,459,319
73.0,459,319
73.5,459,319
74.0,459,319
74.5,459,318
75.0,459,318
75.5,459,318
85.5,307,298
85.0,307,298
84.5,307,298
84.0,307,298
87.5,294,295
87.0,294,296
86.5,294,296
86.0,307,298
81.5,321,300
81.0,320,300
80.5,355,305
80.0,364,306
83.5,307,298
83.0,314,298
82.5,319,300
82.0,321,300
93.0,290,295
93.5,290,295
92.0,290,295
92.5,290,295
95.0,285,294
95.5,294,283
94.0,281,297
94.5,281,296
89.0,290,295
89.5,290,295
88.0,290,295
88.5,290,295
91.0,290,295
91.5,290,295
90.0,290,295
90.5,290,295
102.5,254,286
102.0,254,286
103.5,254,285
103.0,254,286
100.5,252,283
100.0,252,283
101.5,252,286
101.0,252,284
98.5,249,285
98.0,248,290
99.5,252,283
99.0,249,285
96.5,285,288
96.0,293,281
97.5,249,291
97.0,260,290
110.0,217,290
110.5,188,296
111.0,188,296
111.5,200,296
108.0,237,285
108.5,234,285
109.0,228,284
109.5,228,284
106.0,239,284
106.5,237,285
107.0,237,285
107.5,237,285
104.0,248,285
104.5,247,285
105.0,247,284
105.5,241,284
119.5,260,288
119.0,260,288
118.5,260,288
118.0,260,288
117.5,260,288
117.0,260,288
116.5,260,288
116.0,256,288
115.5,252,288
115.0,252,288
114.5,252,288
114.0,252,288
113.5,245,290
113.0,237,293
112.5,235,294
112.0,235,294
127.0,246,285
127.5,246,285
126.0,246,285
126.5,246,285
125.0,246,285
125.5,246,285
124.0,246,285
124.5,246,285
123.0,246,285
123.5,246,285
122.0,246,285
122.5,246,285
121.0,246,285
121.5,246,285
120.0,260,288
120.5,260,288
137.5,240,285
137.0,240,285
136.5,240,285
136.0,240,285
139.5,240,285
139.0,240,285
138.5,240,285
138.0,240,285
141.5,240,285
141.0,240,285
140.5,240,285
140.0,240,285
143.5,240,285
143.0,240,285
142.5,240,285
142.0,240,285
129.0,240,285
129.5,240,285
128.0,246,285
128.5,244,285
131.0,240,285
131.5,240,285
130.0,240,285
130.5,240,285
133.0,240,285
133.5,240,285
132.0,240,285
132.5,240,285
135.0,240,285
135.5,240,285
134.0,240,285
134.5,240,285
152.5,240,285
152.0,240,285
153.5,240,285
153.0,240,285
154.5,240,285
154.0,240,285
155.5,240,285
155.0,240,285
156.5,240,285
156.0,240,285
157.5,240,285
157.0,240,285
158.5,240,285
158.0,240,285
159.5,240,285
159.0,240,285
144.0,240,285
144.5,240,285
145.0,240,285
145.5,240,285
146.0,240,285
146.5,240,285
147.0,240,285
147.5,240,285
148.0,240,285
148.5,240,285
149.0,240,285
149.5,240,285
150.0,240,285
150.5,240,285
151.0,240,285
151.5,240,285
171.5,240,285
171.0,240,285
170.5,240,285
170.0,240,285
169.5,240,285
169.0,240,285
168.5,240,285
168.0,240,285
175.5,239,285
175.0,240,285
174.5,240,285
174.0,240,285
173.5,240,285
173.0,240,285
172.5,240,285
172.0,240,285
163.0,240,285
163.5,240,285
162.0,240,285
162.5,240,285
161.0,240,285
161.5,240,285
160.0,240,285
160.5,240,285
167.0,240,285
167.5,240,285
166.0,240,285
166.5,240,285
165.0,240,285
165.5,240,285
164.0,240,285
164.5,240,285
186.5,231,281
186.0,231,281
187.5,222,281
187.0,231,281
184.5,231,281
184.0,231,281
185.5,231,281
185.0,231,281
190.5,220,282
190.0,220,282
191.5,218,283
191.0,220,282
188.5,222,281
188.0,222,281
189.5,220,282
189.0,221,281
178.0,239,285
178.5,237,287
179.0,237,287
179.5,237,287
176.0,239,285
176.5,239,285
177.0,239,285
177.5,239,285
182.0,237,287
182.5,237,287
183.0,236,287
183.5,231,282
180.0,237,287
180.5,237,287
181.0,237,287
181.5,237,287
205.0,235,283
205.5,247,284
204.0,236,283
204.5,236,283
207.0,270,284
207.5,274,283
206.0,260,284
206.5,263,284
201.0,236,283
201.5,236,283
200.0,236,283
200.5,236,283
203.0,236,283
203.5,236,283
202.0,236,283
202.5,236,283
197.5,232,283
197.0,230,283
196.5,230,283
196.0,230,283
199.5,236,283
199.0,236,283
198.5,236,283
198.0,234,283
193.5,239,283
193.0,234,283
192.5,224,283
192.0,216,283
195.5,230,283
195.0,230,283
194.5,230,283
194.0,237,283
220.0,498,264
220.5,498,264
221.0,498,264
221.5,498,264
222.0,498,264
222.5,498,264
223.0,498,264
223.5,498,264
216.0,395,268
216.5,412,268
217.0,427,267
217.5,433,266
218.0,442,266
218.5,458,266
219.0,461,266
219.5,479,265
212.5,302,278
212.0,302,278
213.5,317,276
213.0,314,277
214.5,337,276
214.0,323,276
215.5,366,268
215.0,360,270
208.5,286,277
208.0,283,279
209.5,286,277
209.0,286,277
210.5,295,277
210.0,288,277
211.5,302,278
211.0,298,277
239.0,503,263
239.5,503,263
238.0,503,263
238.5,503,263
237.0,503,263
237.5,503,263
236.0,503,263
236.5,503,263
235.0,503,263
235.5,503,263
234.0,503,263
234.5,503,263
233.0,503,263
233.5,503,263
232.0,503,263
232.5,503,263
231.5,503,263
231.0,503,263
230.5,503,263
230.0,503,263
229.5,503,263
229.0,503,263
228.5,503,263
228.0,503,263
227.5,503,263
227.0,503,263
226.5,503,264
226.0,503,264
225.5,506,264
225.0,506,264
224.5,506,264
224.0,505,264
254.0,503,263
254.5,503,263
255.0,503,263
255.5,503,263
252.0,503,263
252.5,503,263
253.0,503,263
253.5,503,263
250.0,503,263
250.5,503,263
251.0,503,263
251.5,503,263
248.0,503,263
248.5,503,263
249.0,503,263
249.5,503,263
246.5,503,263
246.0,503,263
247.5,503,263
247.0,503,263
244.5,503,263
244.0,503,263
245.5,503,263
245.0,503,263
242.5,503,263
242.0,503,263
243.5,503,263
243.0,503,263
240.5,503,263
240.0,503,263
241.5,503,263
241.0,503,263
275.0,503,263
275.5,503,263
274.0,503,263
274.5,503,263
273.0,503,263
273.5,503,263
272.0,503,263
272.5,503,263
279.0,503,263
279.5,503,263
278.0,503,263
278.5,503,263
277.0,503,263
277.5,503,263
276.0,503,263
276.5,503,263
283.5,503,263
283.0,503,263
282.5,503,263
282.0,503,263
281.5,503,263
281.0,503,263
280.5,503,263
280.0,503,263
287.5,503,263
287.0,503,263
286.5,503,263
286.0,503,263
285.5,503,263
285.0,503,263
284.5,503,263
284.0,503,263
258.0,503,263
258.5,503,263
259.0,503,263
259.5,503,263
256.0,503,263
256.5,503,263
257.0,503,263
257.5,503,263
262.0,503,263
262.5,503,263
263.0,503,263
263.5,503,263
260.0,503,263
260.5,503,263
261.0,503,263
261.5,503,263
266.5,503,263
266.0,503,263
267.5,503,263
267.0,503,263
264.5,503,263
