0,1,2
A,1,2.0449
A,1,1.9088
A,1,1.0000
A,1,2.3308
A,1,1.5514
A,1,1.0000
A,2,1.0000
A,2,1.5349
A,2,2.1674
A,2,1.8329
A,2,1.4102
A,2,1.8285
A,3,1.1646
A,3,2.3955
A,3,1.7500
A,3,1.7566
A,3,2.1556
A,3,1.8419
B,1,1.7148
B,1,2.0165
B,1,1.9355
B,1,1.7974
B,1,1.4724
B,1,1.7126
B,2,2.2291
B,2,2.0852
B,2,2.8871
B,2,2.9006
B,2,2.1414
B,2,2.7805
B,3,2.6045
B,3,1.8060
B,3,1.5212
B,3,2.7238
B,3,2.1046
B,3,
