part,group,s1,s2,s3
0,A,2.0449,1.0,1.1646
1,A,1.9088,1.5349,2.3955
2,A,1.0,2.1674,1.75
3,A,2.3308,1.8329,1.7566
4,A,1.5514,1.4102,2.1556
5,A,1.0,1.8285,1.8419
6,B,1.7148,2.2291,2.6045
7,B,2.0165,2.0852,1.806
8,B,1.9355,2.8871,1.5212
9,B,1.7974,2.9006,2.7238
10,B,1.4724,2.1414,2.1046
11,B,1.7126,2.7805,
